PID,Value,Year Built,Size
100589000,513614,1910,2935
100590000,425711,1910,3420
100591000,449637,1899,3510
100594000,1613750,1940,5209
100595000,573500,1960,2162
100596000,285107,1900,1542
100597000,529500,1960,2496
100598000,0,1999,0
100598002,365632,1985,1752
100598004,359203,1985,1752
100599000,405263,1998,2778
100600000,745705,1900,5637
100601000,0,2003,0
100601002,436989,2003,1729
100601004,442259,2003,1729
100602000,639040,1990,4239
100603000,360995,1905,1804
100604000,370376,1920,2504
100605000,359941,1915,2993
100606000,576749,1890,3212
100607000,525000,1975,2500
100608000,1563750,1950,5964
100610000,1475865,1930,10799
100611000,0,1933,17494
100613000,529003,1939,4332
100614000,598251,1920,5469
100615000,481467,1910,5013
100616000,447528,1910,3425
100617000,636932,1910,6094
100618000,547448,1910,5222
100619000,631557,1920,5373
100620000,655693,1910,4736
100621000,542810,1890,5191
100622000,611742,1900,3195
100623000,447423,1900,2751
100624000,504866,1925,4295
100625000,477884,1925,3588
100627000,764230,1910,5092
100627001,606893,1910,3924
100628000,368162,1900,3124
100629000,758775,1925,5578
100630000,455961,1900,3218
100631000,483681,1905,3540
100632000,499491,1905,2790
100633000,483997,1900,2904
100634000,455961,1900,3166
100635000,619303,1910,4743
100636000,0,1905,4620
100636002,420019,2016,962
100636004,429716,2016,982
100636006,444577,2016,1074
100637000,604364,1900,4341
100639000,0,1900,0
100639002,502547,2017,1815
100639004,512139,2017,1329
100640000,546288,1905,5055
100641000,463444,1890,4177
100642000,586551,1900,4659
100644010,603837,1900,4223
100644020,553982,1900,4137
100645000,569055,1911,4466
100646000,681622,1870,4320
100647000,546077,1900,4406
100648000,547237,1900,4386
100649000,527738,1900,4326
100650000,602783,1900,4566
100651000,387134,1900,3490
100652000,556196,1899,4188
100653000,429505,1900,2914
100654000,294382,1900,2244
100655000,311668,1900,2364
100656000,440045,1900,2210
100657000,443313,1900,2244
100658000,452588,1900,2276
100659000,459333,1899,2863
100660000,589818,1930,4854
100661000,481467,1899,2978
100662000,433616,1870,2938
100665000,636405,1910,4436
100666000,502231,1900,4454
100667000,480624,1918,3277
100668000,512876,1918,3219
100669000,464287,1918,3243
100670000,513509,1918,3387
100671000,478305,1918,3244
100672000,521730,1906,3219
100673000,478094,1918,3273
100674000,510136,1918,3273
100675000,567579,1906,2930
100676000,486316,1918,3402
100677000,502547,1900,3987
100680000,0,1903,5796
100681000,770474,1910,5676
100682000,349717,1910,2755
100683000,516460,1900,4728
100738000,443523,1910,2866
100739000,444261,1910,3317
100740000,599410,1875,4092
100741000,355620,1910,2465
100742000,343815,1900,1976
100743010,484524,1910,2637
100743020,551348,1910,4872
100744000,694586,1910,6072
100747000,537540,1910,4050
100748000,1529881,1925,6459
100749000,682620,,1
100750000,536130,1960,5725
100751000,212487,1910,1869
100752000,690792,1900,5682
100753000,594456,1910,3594
100754000,595615,1910,4998
100755000,434564,1905,1514
100756000,360995,1910,2596
100757000,574009,1910,4132
100758000,356568,1910,1841
100759000,406950,1910,2299
100760000,479992,1905,3588
100760005,300496,1910,1708
100761000,565281,1910,3624
100761000,565281,1960,1542
100762000,745705,1925,2340
100769000,457647,1900,3312
100770000,433826,1890,3312
100771000,467554,1890,3072
100772000,538278,1899,3552
100773000,517092,1890,2796
100774000,462812,1890,2730
100775000,417700,1890,2726
100776000,465657,1890,2766
100777000,422654,1900,2724
100778000,323051,1890,2430
100779000,219864,1890,1614
100791000,536697,1900,4608
100792000,480729,1910,4454
100793001,554931,1920,3924
100794000,572638,1890,4277
100795010,0,1900,22146
100798000,505288,1900,4020
100799000,496750,1900,4020
100800000,262762,1900,2060
100801000,493588,1900,4254
100802000,570952,1900,6221
100803000,519622,1899,4896
100804000,327056,1900,2145
100805000,440888,1900,2238
100806000,521730,1900,2386
100807000,577908,1900,4520
100808000,565000,1960,1175
100809000,555458,1900,3171
100810000,318203,1900,3369
100811000,457542,1900,3125
100812000,492956,1900,3551
100813000,579805,1890,4184
100814000,316622,1900,2142
100815000,572006,1890,4160
100816000,497488,1890,4118
100817000,544286,1900,3521
100817010,0,2017,0
100817012,484735,2017,1588
100817014,454907,2017,1067
100818000,343815,1900,2277
100819000,472614,1900,3658
100820000,219127,1900,1368
100821000,357201,1890,1872
100822000,306293,1900,1584
100823000,434248,1900,3013
100824000,411376,1900,3148
100825000,269719,1910,1476
100826000,472403,1900,2634
100827000,463339,1900,2628
100829000,362892,1910,3344
100832000,6213750,2008,12900
100835000,326213,1890,2508
100835001,386186,1880,2016
100836000,541651,1900,3765
100837000,277518,1910,1688
100838000,333486,1910,2797
100839000,364368,1900,2860
100840000,371851,1890,2128
100841000,597407,1890,3461
100842000,500756,1890,3301
100843000,571163,1890,4160
100844000,677500,1920,2424
100845000,1001250,1925,2520
100846000,279310,1910,1458
100847000,349296,1900,2347
100848000,285423,1910,1773
100849000,489750,1978,1760
100850000,670660,1900,4879
100851000,608369,1900,4884
100852000,568422,1930,5120
100853000,622914,1900,5424
100854000,707656,1940,5498
100855000,600253,1890,4899
100856000,886414,1899,4351
100857000,352563,1890,2262
100858000,555037,1890,4344
100859000,679619,1905,4490
100860000,505077,1900,3870
100861000,510979,1900,3888
100862000,475143,1925,3777
100863000,821457,1899,5697
100865000,373538,1900,2494
100866000,331167,1910,2165
100868000,490743,1910,3675
100869000,557566,2003,2821
100869001,330429,1910,2565
100870000,0,2009,0
100870002,438780,2010,1025
100870004,520149,2010,1101
100871000,371008,1910,2007
100872000,525419,1910,2808
100872001,429400,1910,3480
100873000,604469,1899,4028
100873001,607315,1900,4658
100873002,709553,1900,4530
100873003,581914,1900,4530
100873004,731687,1900,5036
100873005,661807,1900,4956
100873006,805467,1900,5212
100874000,497500,1925,2480
100877000,931880,1920,6236
100878000,477673,1900,3856
100879000,0,1940,0
100879002,385026,1940,1063
100879004,388715,1940,1094
100880000,480624,1900,3408
100881000,469951,1900,2679
100882000,242103,1910,1588
100883000,342339,1890,2794
100884000,488108,1900,3708
100885000,525524,1922,3114
100886000,646313,1900,3994
100887000,576011,1900,2967
100888000,461125,1890,2946
100889000,325792,1890,3579
100890000,571479,1900,3936
100891000,544602,1900,4004
100892000,0,1890,0
100892002,357517,1900,687
100892004,377438,1900,726
100893000,0,1900,3817
100893002,443629,1900,1055
100893004,419387,1900,1176
100894000,486105,1900,3760
100895000,543653,1900,3246
100896000,0,1899,1
100897000,0,1899,1
100899000,0,1899,40466
100900000,285739,1900,2428
100901000,440994,1912,3298
100902000,426343,1900,3266
100903000,616274,1900,3486
100904000,547553,1900,3476
100905000,578014,1900,4064
100908000,518357,1900,4068
100909000,505815,1910,3507
100910000,677063,2017,3258
100911000,272987,1900,1523
100912000,359098,1966,2158
100913000,479781,1890,3002
100914000,452693,1890,3570
100915010,0,1909,34560
100918000,0,1999,0
100918000,0,1999,0
100918002,343710,1988,2061
100918004,331905,1988,2078
100918006,339599,1988,2079
100918008,346028,1988,2053
100918010,443207,1988,2026
100918012,341285,1988,2014
100918014,414644,1988,1997
100919000,566314,1900,4426
100920010,623547,2012,3714
100921000,687946,1900,5980
100922000,483786,1900,3799
100923000,661807,1918,5001
